id,neighbourhood_group_cleansed,latitude,longitude,property_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,ocupacion_estimada,tipo_tenedor,superhost
51360279,ChamberÃ­,40.43244934082031,-3.710139989852905,Entire rental unit,4,1.0,1.0,2.0,$108.00,10,1125,48,4.71,4.75,4.81,4.71,4.85,4.83,4.5,15,235,Profesional (6-20),0
51362613,ChamberÃ­,40.43356,-3.70454,Entire rental unit,4,,1.0,,,7,365,103,4.86,4.88,4.92,4.94,4.98,4.93,4.83,4,352,Mediano (2-5),1
51363201,Centro,40.41458,-3.70141,Entire rental unit,4,1.0,1.0,2.0,$140.00,1,365,79,4.62,4.73,4.52,4.84,4.89,4.96,4.48,33,308,Gran tenedor (>20),1
51369024,Moncloa - Aravaca,40.46057,-3.72212,Private room in home,2,1.0,1.0,1.0,$50.00,2,365,26,4.88,4.88,4.85,4.88,4.92,4.65,4.92,4,26,Mediano (2-5),0
51385088,Usera,40.38526,-3.70119,Private room in casa particular,1,,,,,2,1125,0,,,,,,,,1,365,Pequeño (1),0
51396793,Arganzuela,40.39695,-3.70714,Private room in home,2,,,,,1,365,12,4.92,4.92,4.92,4.92,4.92,4.67,4.83,1,365,Pequeño (1),0
51406711,Centro,40.42526,-3.70748,Entire rental unit,4,1.0,1.0,2.0,$108.00,1,365,56,4.63,4.61,4.71,4.8,4.71,4.86,4.48,1,126,Pequeño (1),1
51407002,TetuÃ¡n,40.4716,-3.69066,Private room in bed and breakfast,2,1.0,1.0,1.0,$79.00,1,1125,4,4.5,5.0,5.0,5.0,5.0,5.0,4.5,1,279,Pequeño (1),0
51418354,Centro,40.4166,-3.70124,Private room in bed and breakfast,2,,1.0,,,1,365,5,4.0,4.0,4.0,3.6,3.4,4.2,4.2,4,304,Mediano (2-5),0
51418906,Hortaleza,40.45666,-3.62448,Entire serviced apartment,2,,,,,2,30,22,4.36,4.55,4.32,4.73,4.77,4.55,4.14,1,365,Pequeño (1),0
51421761,Ciudad Lineal,40.42673,-3.65616,Entire rental unit,4,,3.0,,,1,365,12,5.0,5.0,5.0,5.0,4.92,4.33,4.67,1,365,Pequeño (1),0
51423665,Ciudad Lineal,40.42085,-3.62824,Entire rental unit,4,1.5,1.0,2.0,$91.00,3,365,122,4.96,4.95,4.9,4.99,4.98,4.9,4.9,1,344,Pequeño (1),1
51426172,Centro,40.40966,-3.70536,Private room in hostel,2,1.5,1.0,2.0,$128.00,1,1125,6,4.67,4.5,5.0,4.67,4.67,4.83,4.83,13,175,Profesional (6-20),0
51426249,Usera,40.38293,-3.7077,Shared room in rental unit,1,1.5,1.0,2.0,$17.00,2,20,184,4.95,4.96,4.97,4.93,4.95,4.66,4.93,1,139,Pequeño (1),1
51426701,Centro,40.40957,-3.70568,Private room in hostel,4,1.5,1.0,4.0,$194.00,1,1125,4,4.75,4.75,5.0,5.0,5.0,5.0,4.5,13,88,Profesional (6-20),0
51427334,Centro,40.40991,-3.70714,Private room in hostel,8,1.0,1.0,8.0,$320.00,1,1125,21,4.81,4.81,4.71,4.76,4.95,4.81,4.57,13,72,Profesional (6-20),0
51427636,Centro,40.41132,-3.70519,Private room in hostel,8,,1.0,,,1,1125,8,4.88,4.88,4.63,4.88,4.88,4.88,4.88,13,58,Profesional (6-20),0
51428145,Centro,40.41175,-3.70649,Private room in hostel,6,1.0,1.0,6.0,$302.00,1,1125,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,13,137,Profesional (6-20),0
51437619,Centro,40.40982,-3.70024,Private room in ryokan,1,2.0,2.0,2.0,$100.00,3,89,3,4.67,4.33,4.0,4.67,5.0,5.0,4.0,1,186,Pequeño (1),0
51442337,Centro,40.40721,-3.70317,Entire rental unit,2,1.0,1.0,1.0,$59.00,2,365,240,4.61,4.72,4.62,4.67,4.85,4.57,4.55,3,253,Mediano (2-5),0
51445201,Villaverde,40.34377670288086,-3.684921979904175,Private room in casa particular,2,1.0,1.0,1.0,$21.00,1,6,207,4.71,4.79,4.84,4.66,4.72,4.23,4.67,1,177,Pequeño (1),0
51447150,Villa de Vallecas,40.38341229311869,-3.6068636465214334,Entire rental unit,6,2.0,3.0,6.0,$117.00,2,60,219,4.87,4.9,4.84,4.88,4.96,4.76,4.84,2,171,Mediano (2-5),1
51458019,ChamberÃ­,40.44129,-3.70129,Entire rental unit,3,2.0,2.0,2.0,$88.00,30,360,0,,,,,,,,1,127,Pequeño (1),0
51459271,Centro,40.41644,-3.70095,Private room in bed and breakfast,2,1.0,1.0,2.0,$166.00,1,365,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4,307,Mediano (2-5),0
51459687,Centro,40.41604,-3.71091,Entire rental unit,4,1.0,1.0,2.0,$140.00,2,1125,9,4.67,4.78,4.44,5.0,4.78,5.0,4.56,9,50,Profesional (6-20),0
51462710,Centro,40.42329,-3.69419,Entire rental unit,4,2.0,2.0,2.0,$206.00,30,730,0,,,,,,,,13,97,Profesional (6-20),0
51463486,ChamberÃ­,40.43294,-3.6911,Entire serviced apartment,2,,1.0,,,5,1125,0,,,,,,,,25,365,Gran tenedor (>20),1
51476305,Centro,40.41,-3.70677,Private room in hostel,3,1.0,1.0,3.0,$194.00,1,1125,3,4.67,5.0,4.67,5.0,5.0,5.0,5.0,13,129,Profesional (6-20),0
51478155,Centro,40.410183,-3.703234,Entire rental unit,3,1.0,1.0,2.0,$161.00,3,90,136,4.87,4.9,4.81,4.84,4.87,4.64,4.71,2,30,Mediano (2-5),1
51480471,Arganzuela,40.40304,-3.69316,Room in aparthotel,8,,4.0,,,1,1125,242,4.43,4.57,4.36,4.57,4.61,4.77,4.4,92,46,Gran tenedor (>20),0
51500255,Salamanca,40.4261580991101,-3.664969356422915,Entire rental unit,4,1.5,1.0,2.0,$92.00,3,14,91,4.89,4.86,4.8,4.93,4.99,4.91,4.74,3,338,Mediano (2-5),1
51503631,Centro,40.40887,-3.69932,Entire rental unit,2,1.0,1.0,1.0,$49.00,45,365,7,4.57,4.71,4.86,5.0,5.0,5.0,4.43,2,78,Mediano (2-5),0
51518437,Centro,40.42376,-3.69188,Entire condo,5,1.0,2.0,3.0,$247.00,3,29,148,4.5,4.64,4.61,4.81,4.63,4.96,4.59,25,317,Gran tenedor (>20),0
51533380,Centro,40.42398,-3.69186,Entire rental unit,3,1.0,0.0,2.0,$121.00,3,29,177,4.66,4.78,4.61,4.84,4.73,4.88,4.66,25,315,Gran tenedor (>20),0
51537911,Ciudad Lineal,40.42606266990809,-3.641295392212253,Entire rental unit,4,1.0,2.0,2.0,$90.00,5,28,200,4.93,4.95,4.98,4.95,4.98,4.54,4.79,2,321,Mediano (2-5),1
51538702,Centro,40.41944,-3.7097,Entire rental unit,6,2.0,3.0,3.0,$273.00,1,365,68,4.49,4.51,4.78,4.37,4.71,4.78,4.26,1,31,Pequeño (1),0
51550052,Centro,40.42153,-3.70013,Entire rental unit,4,0.0,2.0,2.0,$131.00,31,365,1,3.0,4.0,5.0,5.0,5.0,1.0,2.0,384,289,Gran tenedor (>20),0
51554244,Centro,40.41195,-3.7068,Shared room,1,1.0,1.0,,$43.00,1,1125,21,5.0,4.86,4.86,4.95,4.9,4.9,4.86,13,69,Profesional (6-20),0
51554823,Centro,40.419369,-3.703054,Room in hotel,2,1.0,1.0,2.0,$198.00,1,10,21,3.57,3.19,3.24,4.52,3.95,4.81,3.76,3,278,Mediano (2-5),0
51555472,Centro,40.42034,-3.71034,Entire rental unit,2,1.0,1.0,0.0,$226.00,28,330,64,4.58,4.59,4.63,4.88,4.58,4.75,4.41,107,347,Gran tenedor (>20),0
51558455,Centro,40.40983,-3.70534,Shared room,1,1.0,1.0,,$41.00,1,1125,61,4.89,4.93,4.89,4.9,4.9,4.89,4.7,13,86,Profesional (6-20),0
51558636,Centro,40.40998,-3.70537,Shared room,1,1.0,1.0,,$38.00,1,1125,1131,4.8,4.85,4.75,4.86,4.81,4.85,4.77,13,55,Profesional (6-20),0
51558807,Arganzuela,40.39929,-3.70196,Entire loft,4,,1.0,,,2,30,147,4.87,4.91,4.73,4.8,4.9,4.68,4.72,1,365,Pequeño (1),1
51566100,Salamanca,40.42662075072628,-3.6649532884446168,Entire rental unit,4,1.5,1.0,2.0,$82.00,3,10,146,4.82,4.81,4.82,4.94,4.92,4.77,4.68,3,154,Mediano (2-5),1
51570786,Centro,40.42011,-3.70205,Room in hotel,1,1.0,1.0,1.0,$168.00,1,365,6,3.67,3.33,4.0,4.5,3.83,4.33,3.5,3,279,Mediano (2-5),0
51570964,Centro,40.42053,-3.70385,Room in hotel,3,1.0,1.0,3.0,$198.00,1,365,19,3.84,3.79,4.05,4.68,3.95,4.89,4.11,3,279,Mediano (2-5),0
51571072,Centro,40.41864,-3.70565,Entire rental unit,2,,1.0,,,1,1125,50,4.72,4.78,4.8,4.62,4.6,4.98,4.58,7,365,Profesional (6-20),0
51571111,Centro,40.41457,-3.70992,Entire rental unit,6,1.0,2.0,3.0,$155.00,1,365,160,4.84,4.91,4.85,4.84,4.91,4.92,4.84,292,164,Gran tenedor (>20),0
51572195,Centro,40.41278,-3.69416,Entire rental unit,4,1.0,1.0,1.0,$219.00,2,730,268,4.9,4.92,4.87,4.89,4.93,4.95,4.86,12,188,Profesional (6-20),1
51589054,Moncloa - Aravaca,40.42495,-3.7258,Entire rental unit,2,,,,,90,1125,0,,,,,,,,1,365,Pequeño (1),0
51589108,Retiro,40.40619,-3.68016,Private room in home,2,1.0,1.0,1.0,$68.00,1,365,3,4.33,5.0,3.67,5.0,4.67,5.0,4.0,2,3,Mediano (2-5),0
51589837,Fuencarral - El Pardo,40.48645371253278,-3.6894284938717297,Entire rental unit,4,1.0,1.0,2.0,$88.00,5,365,65,4.86,4.86,4.82,4.88,4.95,4.68,4.69,3,48,Mediano (2-5),1
51589862,Centro,40.41843,-3.70571,Entire rental unit,2,,1.0,,,1,1125,43,4.47,4.51,4.6,4.47,4.58,4.86,4.44,7,365,Profesional (6-20),0
51591104,Centro,40.41843,-3.70651,Entire rental unit,2,,1.0,,,1,1125,67,4.49,4.78,4.76,4.72,4.67,4.96,4.48,7,365,Profesional (6-20),0
51592583,Centro,40.42057,-3.70711,Entire rental unit,2,,1.0,,,1,1125,61,4.33,4.7,4.54,4.52,4.57,4.85,4.39,7,365,Profesional (6-20),0
51594825,Centro,40.41879,-3.70723,Entire rental unit,2,,1.0,,,1,1125,62,4.6,4.69,4.63,4.74,4.6,5.0,4.58,7,365,Profesional (6-20),0
51595345,Centro,40.41919,-3.70782,Entire rental unit,2,,1.0,,,1,1125,59,4.53,4.61,4.64,4.61,4.66,4.92,4.47,7,365,Profesional (6-20),0
51596274,Salamanca,40.43293,-3.67522,Entire rental unit,4,1.0,1.0,2.0,$127.00,2,360,25,4.88,4.84,4.84,4.92,4.96,4.96,4.84,22,57,Gran tenedor (>20),0
51599794,Arganzuela,40.41102,-3.7205,Private room in rental unit,1,,,,,31,90,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,365,Pequeño (1),0
51602462,San Blas - Canillejas,40.43689,-3.60857,Private room in rental unit,1,1.0,1.0,1.0,$57.00,3,365,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,17,2,Profesional (6-20),1
51609768,Salamanca,40.42391196367808,-3.674022182822228,Entire rental unit,4,2.0,2.0,2.0,$250.00,28,365,38,4.89,4.89,4.92,4.97,4.97,4.89,4.63,1,142,Pequeño (1),1
51612012,Arganzuela,40.40291,-3.69147,Entire rental unit,7,2.0,4.0,4.0,$130.00,1,1125,235,4.46,4.47,4.45,4.39,4.51,4.71,4.44,92,29,Gran tenedor (>20),0
51612329,Salamanca,40.430981,-3.685956,Entire rental unit,2,1.0,1.0,1.0,$115.00,2,14,86,4.76,4.93,4.82,4.94,4.98,4.94,4.67,1,255,Pequeño (1),1
51617186,Fuencarral - El Pardo,40.48151,-3.72435,Private room in casa particular,1,,,,,2,4,0,,,,,,,,1,365,Pequeño (1),0
51633768,ChamberÃ­,40.43876,-3.71334,Private room in condo,2,1.0,1.0,1.0,$91.00,2,10,347,4.91,4.9,4.95,4.92,4.9,4.87,4.79,1,328,Pequeño (1),0
51634109,Fuencarral - El Pardo,40.49525,-3.72065,Camper/RV,4,1.0,2.0,2.0,$105.00,4,365,1,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1,0,Pequeño (1),0
51647382,Puente de Vallecas,40.39511,-3.67143,Private room in home,1,1.0,2.0,3.0,$25.00,1,1125,295,4.62,4.64,4.6,4.75,4.81,4.47,4.57,2,23,Mediano (2-5),0
51650229,Arganzuela,40.41249,-3.72009,Entire rental unit,3,,1.0,,,3,1125,100,4.59,4.52,4.37,4.73,4.87,4.82,4.52,1,365,Pequeño (1),0
51654185,Centro,40.41321,-3.70094,Private room in rental unit,2,1.0,1.0,1.0,$66.00,20,365,178,4.94,4.95,4.99,4.98,4.96,4.96,4.89,1,124,Pequeño (1),1
51677963,Centro,40.41787,-3.70454,Entire rental unit,6,1.5,2.0,2.0,$281.00,1,1125,43,4.98,4.98,4.98,4.91,4.91,5.0,4.95,13,343,Profesional (6-20),0
51679964,Centro,40.42202,-3.70733,Entire serviced apartment,2,1.0,1.0,1.0,$194.00,1,1125,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,13,243,Profesional (6-20),0
51684764,ChamartÃ­n,40.46843,-3.68508,Entire rental unit,2,,1.0,,,1,1125,3,4.33,3.67,4.33,3.33,3.67,5.0,3.33,1,365,Pequeño (1),0
51691326,Centro,40.41098,-3.69866,Entire rental unit,3,1.0,2.0,2.0,$138.00,1,1125,82,4.37,4.4,4.61,4.67,4.66,4.51,4.15,1,45,Pequeño (1),0
51699199,Retiro,40.40391,-3.67551,Entire rental unit,2,1.0,1.0,2.0,$56.00,30,365,192,4.76,4.77,4.73,4.9,4.97,4.77,4.64,1,50,Pequeño (1),1
51702554,Centro,40.42336654663086,-3.700917959213257,Room in aparthotel,2,1.0,1.0,1.0,$167.00,1,365,112,4.83,4.88,4.89,4.92,4.96,4.87,4.78,6,23,Profesional (6-20),1
51702569,Salamanca,40.42253,-3.67969,Entire rental unit,6,3.0,3.0,4.0,$724.00,30,365,86,4.85,4.83,4.8,4.8,4.79,4.97,4.72,63,321,Gran tenedor (>20),0
51702636,Centro,40.42336654663086,-3.700917959213257,Room in aparthotel,2,1.0,1.0,1.0,$130.00,1,365,141,4.84,4.87,4.9,4.87,4.89,4.89,4.77,6,53,Profesional (6-20),1
51708167,Moncloa - Aravaca,40.42922,-3.72647,Private room in rental unit,1,,,,,14,1125,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,78,365,Gran tenedor (>20),1
51723737,Centro,40.422291,-3.711508,Room in hotel,1,,1.0,,,1,365,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6,98,Profesional (6-20),0
51724597,Centro,40.422291,-3.711508,Room in hotel,2,,1.0,,,1,1125,0,,,,,,,,6,98,Profesional (6-20),0
51724692,Centro,40.422291,-3.711508,Room in hotel,2,,1.0,,,1,1125,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6,98,Profesional (6-20),0
51724736,Centro,40.422291,-3.711508,Room in hotel,2,,1.0,,,1,1125,0,,,,,,,,6,67,Profesional (6-20),0
51724773,Centro,40.422291,-3.711508,Room in hotel,2,,1.0,,,1,1125,0,,,,,,,,6,98,Profesional (6-20),0
51724813,Centro,40.422291,-3.711508,Room in hotel,3,,1.0,,,1,1125,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6,98,Profesional (6-20),0
