id,neighbourhood_group_cleansed,latitude,longitude,property_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,ocupacion_estimada,tipo_tenedor,superhost
21853,Latina,40.40381,-3.7413,Private room in rental unit,1,,,,,4,40,33,4.58,4.72,4.56,4.75,4.82,4.21,4.67,2,167,Mediano (2-5),0
30320,Centro,40.41476,-3.70418,Entire rental unit,2,1.0,1.0,2.0,$157.00,5,50,173,4.63,4.71,4.88,4.82,4.78,4.9,4.69,17,23,Profesional (6-20),0
30959,Centro,40.41259,-3.70105,Entire loft,2,,1.0,,,3,730,8,4.38,4.14,4.38,4.63,4.63,4.88,4.25,1,365,Pequeño (1),0
40916,Centro,40.42247,-3.70577,Entire rental unit,2,1.0,1.0,3.0,$143.00,5,50,53,4.68,4.71,4.9,4.87,4.81,4.88,4.59,17,24,Profesional (6-20),0
62423,Centro,40.41884,-3.69655,Private room in rental unit,4,1.5,1.0,2.0,$65.00,1,30,249,4.65,4.78,4.46,4.8,4.86,4.97,4.6,3,66,Mediano (2-5),0
70059,Centro,40.42381,-3.71038,Entire rental unit,2,,1.0,,,7,365,64,4.68,4.75,4.75,4.86,4.89,4.95,4.54,1,365,Pequeño (1),0
70073,Centro,40.42252,-3.7025,Entire rental unit,2,1.0,1.0,1.0,$116.00,30,360,36,4.23,4.49,4.42,4.43,4.4,4.6,4.09,4,60,Mediano (2-5),0
70310,Centro,40.42252,-3.7025,Entire rental unit,2,1.0,1.0,2.0,$79.00,30,360,31,4.37,4.65,4.55,4.8,4.71,4.87,4.1,4,48,Mediano (2-5),0
72150,Centro,40.4115,-3.70449,Entire rental unit,6,1.0,3.0,5.0,$300.00,3,180,133,4.63,4.64,4.43,4.87,4.85,4.84,4.48,4,185,Mediano (2-5),0
82481,Salamanca,40.42342,-3.68123,Entire rental unit,2,,1.0,,,3,365,105,4.78,4.69,4.96,4.97,4.96,4.95,4.69,1,365,Pequeño (1),0
84719,Centro,40.40866,-3.70374,Entire rental unit,2,,1.0,,,7,1125,182,4.67,4.79,4.86,4.83,4.85,4.44,4.69,1,337,Pequeño (1),0
86042,Centro,40.40939,-3.69812,Entire rental unit,6,1.0,3.0,3.0,$166.00,3,365,233,4.83,4.81,4.65,4.88,4.92,4.92,4.68,4,215,Mediano (2-5),0
100411,Fuencarral - El Pardo,40.50044,-3.67032,Entire rental unit,2,,1.0,,,2,30,3,4.67,5.0,4.67,5.0,4.33,4.33,4.67,1,365,Pequeño (1),0
102040,Ciudad Lineal,40.43422,-3.64196,Private room in rental unit,1,,,,,3,90,0,,,,,,,,1,365,Pequeño (1),0
120293,Centro,40.41143,-3.70912,Private room in rental unit,2,1.0,1.0,2.0,$45.00,1,365,402,4.8,4.85,4.82,4.9,4.9,4.95,4.74,1,249,Pequeño (1),1
136058,Villaverde,40.35761,-3.69723,Private room in rental unit,1,1.0,1.0,1.0,$24.00,1,1125,97,4.94,4.96,4.95,4.98,4.98,4.74,4.93,1,365,Pequeño (1),0
163429,ChamberÃ­,40.43765,-3.70408,Entire loft,4,,1.0,,,90,365,8,4.75,5.0,4.57,5.0,4.86,5.0,4.71,1,278,Pequeño (1),0
167183,Hortaleza,40.45575,-3.64912,Private room in chalet,2,1.0,1.0,2.0,$90.00,1,1125,52,4.82,4.8,4.94,4.9,4.82,4.84,4.8,2,29,Mediano (2-5),1
199016,Centro,40.4257,-3.70383,Private room in rental unit,2,1.0,1.0,1.0,$60.00,2,365,72,4.76,4.83,4.8,4.87,4.85,4.96,4.69,1,108,Pequeño (1),1
199201,Centro,40.41319,-3.7024,Private room in rental unit,2,1.0,1.0,1.0,$120.00,3,30,223,4.87,4.87,4.91,4.98,4.99,4.99,4.82,1,331,Pequeño (1),1
200828,Salamanca,40.43201,-3.68358,Entire rental unit,7,,2.0,,,14,100,0,,,,,,,,1,365,Pequeño (1),0
204570,Centro,40.4152,-3.69668,Entire rental unit,5,2.0,2.0,2.0,$160.00,5,365,107,4.84,4.85,4.82,4.94,4.9,4.97,4.84,1,322,Pequeño (1),0
205199,Centro,40.42116,-3.70384,Entire condo,2,1.0,0.0,1.0,$98.00,15,365,374,4.94,4.97,4.97,4.96,4.95,4.94,4.9,2,46,Mediano (2-5),0
211444,Hortaleza,40.45959,-3.64699,Private room in rental unit,2,1.0,1.0,1.0,$68.00,2,365,234,4.95,4.96,4.99,4.99,4.96,4.81,4.93,1,57,Pequeño (1),1
221017,Centro,40.4131,-3.70086,Entire rental unit,4,2.0,2.0,5.0,$117.00,5,18,79,4.57,4.52,4.39,4.79,4.72,4.95,4.48,2,323,Mediano (2-5),0
225489,ChamberÃ­,40.43595,-3.70706,Private room in rental unit,1,,,,,25,365,30,4.72,4.9,4.86,5.0,4.93,4.83,4.83,3,365,Mediano (2-5),0
229664,Centro,40.4078,-3.70085,Entire rental unit,3,0.5,1.0,2.0,$58.00,10,1125,563,4.29,4.45,4.18,4.51,4.63,4.48,4.35,2,74,Mediano (2-5),0
233011,Centro,40.41175,-3.70021,Entire rental unit,4,1.0,1.0,2.0,$70.00,2,18,97,4.56,4.59,4.62,4.62,4.74,4.88,4.54,2,80,Mediano (2-5),0
256004,Centro,40.41428,-3.70767,Entire rental unit,10,1.0,3.0,8.0,$138.00,3,300,224,4.64,4.63,4.71,4.83,4.8,4.97,4.55,7,225,Profesional (6-20),0
258713,Arganzuela,40.39627,-3.69926,Entire condo,2,1.0,1.0,1.0,$100.00,4,30,88,4.89,4.89,4.92,4.92,4.9,4.83,4.76,1,240,Pequeño (1),1
260951,Hortaleza,40.47189,-3.62966,Entire loft,4,1.5,4.0,4.0,$288.00,3,60,150,4.71,4.79,4.87,4.89,4.85,4.25,4.72,2,262,Mediano (2-5),1
261878,Centro,40.42377853393555,-3.702780961990357,Entire loft,2,1.0,1.0,1.0,$144.00,2,20,682,4.92,4.93,4.76,4.99,4.99,4.97,4.84,1,157,Pequeño (1),1
263748,Hortaleza,40.47142,-3.62881,Entire loft,4,1.0,2.0,3.0,$114.00,2,120,163,4.75,4.78,4.91,4.88,4.89,4.32,4.64,2,237,Mediano (2-5),1
281224,Centro,40.41685,-3.70882,Entire rental unit,4,1.0,1.0,2.0,$148.00,2,60,138,4.52,4.67,4.78,4.59,4.76,4.96,4.5,1,37,Pequeño (1),0
287660,Centro,40.42683,-3.71108,Private room in rental unit,1,,,,,1,365,11,5.0,4.8,4.9,4.9,5.0,4.7,4.9,2,365,Mediano (2-5),0
289555,Centro,40.41849,-3.70743,Private room in rental unit,4,1.0,1.0,2.0,$139.00,4,360,191,4.53,4.53,4.46,4.71,4.69,4.84,4.59,21,64,Gran tenedor (>20),0
336672,Arganzuela,40.39516,-3.69309,Entire rental unit,6,,4.0,,,2,35,198,4.79,4.78,4.62,4.84,4.88,4.75,4.68,1,365,Pequeño (1),1
336834,Centro,40.42242,-3.69562,Entire rental unit,5,1.0,2.0,4.0,$84.00,5,1125,71,4.61,4.74,4.3,4.85,4.77,4.96,4.6,1,166,Pequeño (1),0
339144,Centro,40.42838,-3.70345,Entire rental unit,3,1.0,1.0,2.0,$90.00,25,1125,151,4.89,4.9,4.96,4.99,4.98,4.82,4.87,2,351,Mediano (2-5),1
339171,Centro,40.41285,-3.69553,Entire rental unit,4,1.0,1.0,2.0,$157.00,3,1125,216,4.9,4.9,4.95,4.91,4.94,4.95,4.89,1,280,Pequeño (1),1
342095,Centro,40.41015,-3.69797,Entire rental unit,2,1.0,1.0,2.0,$95.00,5,1125,54,4.85,4.92,4.88,4.94,4.92,4.81,4.83,2,207,Mediano (2-5),0
345249,TetuÃ¡n,40.47148,-3.68946,Entire rental unit,6,1.5,3.0,4.0,$160.00,90,333,32,4.45,4.55,4.52,4.74,4.74,4.32,4.32,1,3,Pequeño (1),0
354838,Centro,40.4249,-3.7097,Entire rental unit,3,,2.0,,,20,300,37,4.72,4.81,4.22,4.89,4.92,4.89,4.59,2,365,Mediano (2-5),0
361053,Retiro,40.40988,-3.67503,Entire rental unit,5,1.0,2.0,4.0,$115.00,2,365,319,4.66,4.71,4.7,4.89,4.88,4.81,4.59,1,260,Pequeño (1),1
363476,Centro,40.41676,-3.70682,Private room in rental unit,2,1.5,1.0,1.0,$70.00,2,90,658,4.56,4.53,4.57,4.72,4.8,4.97,4.55,1,94,Pequeño (1),0
371532,Centro,40.41944,-3.70945,Entire rental unit,3,1.0,1.0,2.0,$110.00,2,365,188,4.91,4.94,4.81,4.86,4.96,4.99,4.87,1,335,Pequeño (1),1
376379,Centro,40.41115,-3.69673,Entire loft,2,1.0,1.0,1.0,$70.00,4,730,44,4.55,4.64,4.41,4.86,4.82,4.95,4.39,3,156,Mediano (2-5),1
402588,Centro,40.4149,-3.70331,Entire rental unit,4,1.0,1.0,1.0,$144.00,3,365,253,4.55,4.63,4.62,4.73,4.59,4.9,4.55,75,230,Gran tenedor (>20),0
404569,Centro,40.42552,-3.70589,Entire rental unit,3,1.0,1.0,1.0,$117.00,3,365,109,4.41,4.43,4.5,4.68,4.52,4.83,4.22,75,255,Gran tenedor (>20),0
406341,Salamanca,40.42978,-3.67817,Private room in rental unit,1,1.5,1.0,2.0,$27.00,4,180,215,4.96,4.97,4.87,4.99,4.97,4.94,4.91,1,177,Pequeño (1),1
414763,Centro,40.41281,-3.70749,Entire rental unit,2,1.0,0.0,1.0,$94.00,3,365,126,4.56,4.6,4.44,4.75,4.6,4.94,4.4,75,258,Gran tenedor (>20),0
449218,Centro,40.42849,-3.70183,Entire rental unit,2,1.0,1.0,1.0,$64.00,4,1125,497,4.87,4.87,4.96,4.93,4.93,4.95,4.84,1,211,Pequeño (1),1
456165,Carabanchel,40.39032,-3.71382,Private room in guest suite,1,,,,,2,1125,18,5.0,5.0,5.0,5.0,5.0,4.94,4.94,1,365,Pequeño (1),0
459362,Centro,40.41592,-3.70177,Entire rental unit,2,1.0,1.0,1.0,$129.00,3,365,149,4.57,4.54,4.63,4.68,4.74,4.84,4.46,75,246,Gran tenedor (>20),0
462072,Centro,40.40869,-3.71073,Entire rental unit,6,1.0,2.0,3.0,$178.00,3,1124,233,4.95,4.95,4.97,4.94,4.97,4.92,4.87,1,106,Pequeño (1),1
469231,Centro,40.41941,-3.70823,Entire rental unit,2,1.0,1.0,1.0,$139.00,3,365,82,4.61,4.71,4.74,4.7,4.74,4.93,4.54,75,250,Gran tenedor (>20),0
470132,Centro,40.41018,-3.70164,Private room in rental unit,2,1.0,1.0,2.0,$108.00,31,330,54,4.8,4.77,4.79,4.92,4.96,4.62,4.73,1,232,Pequeño (1),1
471328,Centro,40.41628,-3.70364,Entire rental unit,2,1.0,1.0,1.0,$126.00,3,365,213,4.62,4.64,4.64,4.78,4.71,4.89,4.57,75,243,Gran tenedor (>20),0
479718,San Blas - Canillejas,40.43202,-3.60353,Private room in rental unit,2,2.0,1.0,1.0,$91.00,1,30,33,4.71,4.45,4.56,4.94,4.97,4.66,4.69,2,276,Mediano (2-5),0
502918,Centro,40.41155,-3.69492,Private room in rental unit,1,1.0,2.0,1.0,$50.00,3,120,185,4.84,4.85,4.95,4.92,4.93,4.97,4.84,1,137,Pequeño (1),1
506956,Ciudad Lineal,40.44117,-3.64841,Entire rental unit,4,1.0,2.0,3.0,$119.00,1,20,742,4.92,4.94,4.94,4.96,4.97,4.73,4.87,1,341,Pequeño (1),1
507614,Centro,40.42323,-3.70434,Entire rental unit,4,1.5,2.0,2.0,$114.00,15,1124,54,4.85,4.87,4.85,4.94,4.98,4.96,4.8,5,94,Mediano (2-5),0
510973,Centro,40.41412,-3.70057,Private room in rental unit,1,2.0,1.0,3.0,$101.00,1,730,21,5.0,4.95,4.95,4.95,4.9,5.0,4.9,1,9,Pequeño (1),0
514917,Latina,40.40445,-3.7398,Private room in rental unit,1,,,,,4,40,26,4.79,4.73,4.58,4.88,4.96,4.5,4.88,2,139,Mediano (2-5),0
521367,Centro,40.4154,-3.70255,Entire rental unit,4,1.0,1.0,2.0,"$1,100.00",3,180,146,4.74,4.85,4.77,4.86,4.92,4.93,4.64,24,271,Gran tenedor (>20),1
522563,Centro,40.41152,-3.70991,Entire rental unit,5,1.5,2.0,2.0,$181.00,4,60,121,4.66,4.72,4.5,4.79,4.83,4.97,4.63,1,294,Pequeño (1),0
524003,Centro,40.41327,-3.70223,Private room in rental unit,2,1.0,1.0,1.0,$93.00,2,1125,609,4.92,4.94,4.95,4.92,4.97,4.97,4.91,1,110,Pequeño (1),1
526162,Retiro,40.4057,-3.67605,Private room in rental unit,1,,,,,2,1125,1,5.0,5.0,4.0,4.0,4.0,4.0,4.0,1,365,Pequeño (1),0
526513,Centro,40.41604,-3.70834,Entire rental unit,5,1.0,2.0,4.0,$127.00,2,330,913,4.73,4.69,4.86,4.81,4.81,4.97,4.7,1,92,Pequeño (1),0
531677,Centro,40.42286,-3.70236,Private room in rental unit,2,,,,,4,730,603,4.9,4.92,4.96,4.94,4.97,4.94,4.88,1,363,Pequeño (1),1
544736,ChamartÃ­n,40.45841,-3.67598,Private room in casa particular,1,1.0,1.0,1.0,$38.00,7,90,100,4.81,4.85,4.86,4.9,4.91,4.79,4.76,2,260,Mediano (2-5),1
552183,Centro,40.41309,-3.69775,Private room in rental unit,2,1.0,1.0,1.0,$53.00,3,15,426,4.86,4.92,4.96,4.94,4.91,4.98,4.86,1,86,Pequeño (1),1
560941,Salamanca,40.42296831342578,-3.690953727258608,Entire rental unit,2,1.0,1.0,1.0,$117.00,1,365,46,4.7,4.72,4.85,4.76,4.72,4.98,4.67,29,64,Gran tenedor (>20),1
568190,Latina,40.41016,-3.72863,Private room in rental unit,2,1.0,1.0,1.0,$19.00,2,1125,195,4.88,4.91,4.98,4.95,4.95,4.57,4.87,1,365,Pequeño (1),0
572048,ChamberÃ­,40.42993,-3.70339,Private room in rental unit,2,,,,,3,1125,0,,,,,,,,1,365,Pequeño (1),0
578731,Centro,40.42551,-3.70812,Entire rental unit,4,,2.0,,,2,1125,472,4.72,4.7,4.62,4.82,4.87,4.9,4.69,3,365,Mediano (2-5),1
588382,Centro,40.41151,-3.70257,Entire home,6,,2.0,,,2,30,5,4.5,4.75,4.5,4.75,4.75,4.75,4.5,1,365,Pequeño (1),0
588518,Centro,40.4158,-3.70962,Entire loft,2,1.0,1.0,1.0,$243.00,3,360,85,4.94,4.95,4.89,4.95,4.99,4.99,4.78,1,186,Pequeño (1),1
590710,Usera,40.36725,-3.68875,Private room in condo,2,1.0,1.0,1.0,$48.00,5,100,105,4.87,4.94,4.96,4.94,4.94,4.62,4.86,1,127,Pequeño (1),1
594298,Centro,40.41906,-3.70627,Entire rental unit,4,1.5,2.0,2.0,$173.00,1,1125,621,4.67,4.72,4.76,4.79,4.81,4.94,4.68,5,351,Mediano (2-5),1
595055,Carabanchel,40.39523,-3.7132,Private room in rental unit,1,2.0,1.0,1.0,$21.00,2,1125,19,4.74,4.84,4.53,4.84,4.84,4.79,4.58,1,291,Pequeño (1),0
598771,Arganzuela,40.40661,-3.6952,Entire condo,3,1.0,1.0,1.0,$99.00,3,65,116,4.8,4.77,4.83,4.85,4.9,4.87,4.78,2,330,Mediano (2-5),1
599134,Centro,40.41596,-3.70846,Entire condo,1,,1.0,,,30,365,7,4.57,4.14,5.0,5.0,5.0,5.0,4.71,1,365,Pequeño (1),0
605339,Latina,40.40743,-3.74293,Private room in home,1,1.0,1.0,1.0,$29.00,10,250,295,4.89,4.94,4.91,4.96,4.98,4.64,4.89,3,248,Mediano (2-5),1
610675,Centro,40.41769,-3.69974,Entire rental unit,4,,1.0,,,3,9,7,5.0,5.0,4.71,5.0,5.0,5.0,5.0,1,365,Pequeño (1),0
616027,ChamartÃ­n,40.43922,-3.67574,Private room in rental unit,1,,,,,1,4,74,4.84,4.82,4.94,4.94,4.97,4.75,4.79,1,365,Pequeño (1),0
625566,Arganzuela,40.40349,-3.70418,Entire home,2,,1.0,,,2,4,25,4.64,4.58,4.75,4.79,4.87,4.63,4.67,1,365,Pequeño (1),0
628394,Centro,40.41730117797852,-3.702075958251953,Entire rental unit,11,2.0,5.0,5.0,$406.00,2,730,92,4.6,4.58,4.65,4.68,4.75,4.87,4.5,3,317,Mediano (2-5),1
643471,Centro,40.41256,-3.70373,Shared room in rental unit,2,,,,,5,15,48,4.56,4.71,4.5,4.73,4.69,4.83,4.44,2,365,Mediano (2-5),0
644656,Ciudad Lineal,40.42432,-3.6399,Private room in rental unit,1,1.0,1.0,1.0,$35.00,7,1125,4,5.0,5.0,4.25,5.0,5.0,4.75,4.5,2,2,Mediano (2-5),0
655514,Ciudad Lineal,40.42432,-3.6399,Private room in rental unit,2,1.0,1.0,2.0,$30.00,20,1125,5,4.8,5.0,4.8,4.75,5.0,5.0,3.8,2,169,Mediano (2-5),0
663761,Villa de Vallecas,40.37093,-3.62298,Private room in home,2,,,,,1,6,4,4.5,4.75,4.5,4.75,4.75,4.75,4.75,1,365,Pequeño (1),0
683969,Carabanchel,40.37609,-3.74279,Entire rental unit,2,,2.0,,,1,1125,0,,,,,,,,1,365,Pequeño (1),0
684564,Centro,40.41747,-3.70979,Entire condo,2,1.0,1.0,2.0,$243.00,3,30,175,4.74,4.77,4.9,4.86,4.91,4.97,4.6,1,0,Pequeño (1),1
688795,Centro,40.41584,-3.70683,Entire rental unit,8,2.0,2.0,6.0,$158.00,3,300,282,4.73,4.69,4.72,4.81,4.89,4.94,4.6,7,242,Profesional (6-20),0
689099,Ciudad Lineal,40.47444,-3.67135,Private room in rental unit,1,,,,,1,1125,15,4.64,4.93,4.73,4.87,4.93,4.53,4.67,1,365,Pequeño (1),0
696928,Salamanca,40.43003,-3.67429,Private room in rental unit,2,,2.0,,,2,2,109,4.43,4.48,4.75,4.78,4.69,4.72,4.22,2,365,Mediano (2-5),0
704155,Centro,40.41389,-3.70461,Entire loft,3,1.0,1.0,1.0,$117.00,1,90,441,4.74,4.75,4.71,4.88,4.88,4.9,4.7,6,328,Profesional (6-20),1
709208,Centro,40.41697,-3.70732,Entire rental unit,4,1.5,1.0,1.0,$97.00,2,1125,862,4.82,4.86,4.82,4.92,4.91,4.97,4.8,1,42,Pequeño (1),1
716292,Centro,40.42616,-3.70263,Entire rental unit,5,1.0,1.0,4.0,$147.00,3,1125,120,4.71,4.7,4.6,4.83,4.84,4.89,4.77,1,73,Pequeño (1),1
726951,Centro,40.42105,-3.70349,Entire rental unit,3,1.0,1.0,1.0,$86.00,3,1125,3,5.0,5.0,4.67,5.0,5.0,5.0,5.0,1,132,Pequeño (1),0
727588,Puente de Vallecas,40.39368,-3.66975,Entire rental unit,4,1.0,2.0,2.0,$52.00,30,360,33,4.3,4.48,4.18,4.73,4.7,4.06,4.18,1,143,Pequeño (1),0
730502,Centro,40.41826,-3.71244,Entire rental unit,6,2.0,2.0,5.0,$150.00,5,1125,110,4.85,4.87,4.91,4.91,4.95,4.97,4.82,2,339,Mediano (2-5),1
733365,ChamberÃ­,40.43653,-3.70421,Private room in home,1,1.0,1.0,1.0,$43.00,5,30,119,4.93,4.96,4.98,4.99,4.96,4.9,4.87,1,355,Pequeño (1),1
747873,Centro,40.42329,-3.70833,Entire rental unit,4,1.0,1.0,1.0,$114.00,7,60,414,4.88,4.92,4.9,4.91,4.9,4.93,4.85,3,315,Mediano (2-5),1
748627,Centro,40.40678,-3.69915,Entire rental unit,3,1.0,1.0,2.0,$133.00,31,336,54,4.83,4.85,4.96,4.93,4.98,4.72,4.78,1,174,Pequeño (1),0
748854,Arganzuela,40.40333,-3.7025,Private room in rental unit,1,1.5,1.0,1.0,$46.00,5,365,212,4.67,4.64,4.71,4.83,4.7,4.72,4.66,3,205,Mediano (2-5),1
750251,Centro,40.42063868265047,-3.705671159481837,Entire rental unit,3,1.0,0.0,2.0,$156.00,5,50,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,17,80,Profesional (6-20),0
750257,Centro,40.42057,-3.70486,Entire rental unit,2,1.0,1.0,1.0,$147.00,5,50,24,4.29,4.52,4.83,4.79,4.79,4.61,4.29,17,51,Profesional (6-20),0
751527,Centro,40.42482,-3.71084,Entire condo,7,2.5,4.0,6.0,$274.00,32,340,103,4.99,4.97,4.96,4.97,4.99,4.93,4.94,1,94,Pequeño (1),1
751530,Centro,40.41429,-3.70649,Entire rental unit,4,1.0,1.0,2.0,$63.00,2,260,622,4.87,4.85,4.93,4.94,4.96,4.97,4.85,2,365,Mediano (2-5),0
752424,Centro,40.40687,-3.70917,Entire rental unit,4,,2.0,,,2,7,116,4.51,4.53,4.65,4.77,4.73,4.76,4.63,1,282,Pequeño (1),0
754678,Centro,40.41382,-3.69514,Entire rental unit,8,2.0,3.0,5.0,$157.00,3,90,438,4.85,4.91,4.73,4.95,4.93,4.97,4.83,1,270,Pequeño (1),1
755587,Centro,40.41497,-3.70853,Entire rental unit,4,1.0,1.0,2.0,$63.00,3,365,579,4.91,4.89,4.95,4.96,4.98,4.97,4.91,2,365,Mediano (2-5),0
758670,San Blas - Canillejas,40.4267,-3.61631,Private room in rental unit,2,1.0,1.0,1.0,$42.00,20,730,31,4.77,4.74,4.61,4.81,4.9,4.45,4.65,6,210,Profesional (6-20),1
760482,TetuÃ¡n,40.45989,-3.69472,Entire rental unit,8,,3.0,,,3,1125,109,4.78,4.65,4.85,4.87,4.88,4.69,4.69,2,365,Mediano (2-5),0
761159,Centro,40.41399,-3.70776,Entire rental unit,4,1.0,1.0,2.0,$90.00,2,1125,662,4.93,4.94,4.96,4.97,4.97,4.98,4.93,2,359,Mediano (2-5),1
763214,Centro,40.40883973425041,-3.71506993463148,Entire rental unit,4,1.0,1.0,2.0,$100.00,3,60,255,4.79,4.85,4.77,4.93,4.87,4.9,4.77,1,359,Pequeño (1),1
772646,Centro,40.41403,-3.70453,Entire rental unit,3,1.0,0.0,1.0,$93.00,1,30,327,4.77,4.8,4.81,4.79,4.83,4.95,4.7,6,314,Profesional (6-20),1
780397,Arganzuela,40.40115,-3.69657,Entire rental unit,8,2.0,3.0,6.0,$142.00,3,1125,22,4.18,4.52,4.32,4.68,4.86,4.41,4.32,1,352,Pequeño (1),0
780743,Centro,40.42398,-3.70451,Private room in rental unit,3,1.0,1.0,1.0,$42.00,3,1124,33,4.24,4.58,4.15,4.58,4.45,4.88,4.15,1,0,Pequeño (1),0
793618,Centro,40.41027,-3.7122,Entire rental unit,6,3.0,3.0,5.0,$365.00,3,1080,508,4.78,4.77,4.85,4.87,4.86,4.94,4.73,18,59,Profesional (6-20),0
797030,San Blas - Canillejas,40.43602,-3.63506,Entire rental unit,3,2.0,2.0,2.0,$58.00,4,31,355,4.8,4.83,4.68,4.72,4.75,4.59,4.78,1,289,Pequeño (1),1
804681,Barajas,40.47281,-3.58827,Private room in home,2,,4.0,,,60,61,1,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2,0,Mediano (2-5),0
814647,San Blas - Canillejas,40.4403,-3.63464,Private room in home,2,,1.0,,,90,1125,0,,,,,,,,1,365,Pequeño (1),0
814870,Retiro,40.4077,-3.68473,Private room in rental unit,1,2.0,1.0,1.0,$38.00,1,1125,240,4.87,4.9,4.78,4.95,4.94,4.92,4.86,3,212,Mediano (2-5),1
817184,Centro,40.4112,-3.69567,Entire rental unit,4,1.0,2.0,2.0,$54.00,2,366,370,4.46,4.52,4.67,4.77,4.83,4.86,4.44,5,46,Mediano (2-5),0
817848,Centro,40.42171,-3.69823,Entire rental unit,2,1.0,1.0,1.0,$100.00,7,90,282,4.85,4.94,4.96,4.95,4.91,4.89,4.89,1,174,Pequeño (1),1
819738,Centro,40.42033,-3.70862,Entire rental unit,4,2.0,2.0,4.0,$150.00,1,730,92,4.74,4.78,4.83,4.78,4.75,4.93,4.67,10,364,Profesional (6-20),0
821860,Centro,40.41013,-3.70453,Private room in rental unit,2,1.0,1.0,1.0,$65.00,3,1125,475,4.87,4.86,4.88,4.9,4.91,4.88,4.85,1,305,Pequeño (1),0
833871,Centro,40.42556,-3.70175,Entire rental unit,4,1.0,1.0,2.0,$68.00,2,360,314,4.61,4.6,4.71,4.85,4.82,4.83,4.55,5,110,Mediano (2-5),0
834562,Barajas,40.46913,-3.58258,Entire rental unit,8,2.5,4.0,7.0,$148.00,2,1125,310,4.92,4.92,4.92,4.96,4.99,4.82,4.86,1,314,Pequeño (1),1
834675,Puente de Vallecas,40.39826,-3.66722,Private room in rental unit,2,1.5,1.0,2.0,$42.00,2,6,198,4.79,4.82,4.92,4.9,4.81,4.65,4.71,1,281,Pequeño (1),1
835333,Centro,40.41901,-3.70631,Entire loft,2,1.0,1.0,1.0,$106.00,1,1125,457,4.55,4.57,4.65,4.71,4.75,4.95,4.57,5,347,Mediano (2-5),1
838698,Retiro,40.40646,-3.68289,Private room in rental unit,2,2.0,1.0,2.0,$38.00,1,1125,932,4.77,4.86,4.73,4.91,4.91,4.88,4.8,3,224,Mediano (2-5),1
838712,Retiro,40.40625,-3.68479,Private room in rental unit,1,2.0,1.0,1.0,$25.00,1,1125,216,4.66,4.78,4.5,4.87,4.9,4.85,4.7,3,365,Mediano (2-5),1
840561,Moncloa - Aravaca,40.44919,-3.71006,Entire rental unit,2,,1.0,,,2,80,5,5.0,5.0,5.0,5.0,5.0,4.8,5.0,1,365,Pequeño (1),0
842078,Centro,40.41726,-3.70269,Entire rental unit,2,1.0,1.0,2.0,$97.00,90,300,40,4.65,4.59,4.59,4.74,4.87,4.82,4.54,1,98,Pequeño (1),1
846558,Centro,40.41858,-3.70077,Private room in rental unit,1,,,,,7,60,605,4.71,4.83,4.84,4.84,4.82,4.92,4.74,1,365,Pequeño (1),1
847273,Moratalaz,40.40721,-3.64994,Entire rental unit,8,2.0,4.0,5.0,$249.00,3,365,229,4.91,4.94,4.93,4.89,4.9,4.72,4.88,5,325,Mediano (2-5),1
848480,Centro,40.41888,-3.70645,Entire rental unit,8,2.5,3.0,3.0,$295.00,2,1125,119,4.72,4.68,4.73,4.76,4.85,4.94,4.66,5,360,Mediano (2-5),1
862752,Arganzuela,40.40196,-3.6974,Private room in rental unit,1,1.0,1.0,1.0,$46.00,2,6,125,4.96,4.97,4.99,4.95,4.98,4.88,4.93,1,34,Pequeño (1),0
864488,Centro,40.40956,-3.7009,Entire rental unit,3,1.0,1.0,2.0,$93.00,2,180,592,4.74,4.72,4.76,4.87,4.92,4.81,4.7,1,113,Pequeño (1),1
874029,San Blas - Canillejas,40.4449,-3.63508,Private room in rental unit,2,1.0,1.0,2.0,$90.00,2,30,95,4.98,4.99,4.97,4.97,4.98,4.78,4.93,1,1,Pequeño (1),0
874273,Centro,40.41596,-3.70431,Entire rental unit,4,1.0,2.0,2.0,$193.00,2,7,188,4.76,4.86,4.77,4.89,4.83,4.98,4.72,1,338,Pequeño (1),0
874842,Salamanca,40.4256315,-3.6714298,Entire rental unit,2,1.0,1.0,1.0,$83.00,5,10,4,5.0,5.0,5.0,5.0,5.0,5.0,4.75,1,236,Pequeño (1),1
886019,ChamberÃ­,40.43808364868164,-3.71245002746582,Entire rental unit,5,1.5,3.0,6.0,$110.00,30,100,52,4.82,4.83,4.75,4.85,4.84,4.67,4.79,1,111,Pequeño (1),0
888289,Centro,40.42656,-3.7036,Entire rental unit,2,1.0,1.0,1.0,$268.00,4,365,543,4.88,4.84,4.92,4.91,4.93,4.87,4.71,2,298,Mediano (2-5),0
892453,Latina,40.40726,-3.74174,Private room in home,1,,,,,3,35,10,4.67,4.9,4.5,5.0,4.7,4.3,4.4,3,365,Mediano (2-5),1
903707,Centro,40.40766,-3.69952,Entire rental unit,4,1.0,2.0,2.0,$85.00,10,300,86,4.37,4.57,4.49,4.8,4.69,4.65,4.5,2,340,Mediano (2-5),0
