"host_id","hosts_time_as_host_years","host_location","host_is_superhost","host_neighbourhood","host_listings_count","host_total_listings_count","neighbourhood_cleansed","neighbourhood_group_cleansed","latitude","longitude","minimum_nights","maximum_nights","availability_365","license","calculated_host_listings_count","calculated_host_listings_count_entire_homes","ocupacion_estimada","tipo_tenedor","superhost"
238884286,6,"Barcelona, Spain","f","Camp d'en Grassot i Gràcia Nova",8,9,"el Camp d'en Grassot i Gràcia Nova","Gràcia",41.40476,2.17125,3,1125,175,"Spain - National registration number<br />ESFCTU00000805800068675700000000000000000HUTB-0082886",8,1,190,"Profesional (6-20)",0
139063900,8,"Barcelona, Spain","t","",38,39,"Sant Pere, Santa Caterina i la Ribera","Ciutat Vella",41.384827,2.183088,1,365,236,"Barcelona - Regional registration number<br />HUTB-005023<br /><br />Spain - National registration number<br />ESHFTU00000811900001879200300000000000000000000050236",36,36,129,"Gran tenedor (>20)",1
139063900,8,"Barcelona, Spain","t","",38,39,"Sant Pere, Santa Caterina i la Ribera","Ciutat Vella",41.384827,2.183088,1,365,237,"Barcelona - Regional registration number<br />HUTB-005024<br /><br />Spain - National registration number<br />ESHFTU00000811900001879200400000000000000000000050242",36,36,128,"Gran tenedor (>20)",1
245974911,6,"","t","El Poblenou",4,6,"el Poblenou","Sant Martí",41.40373,2.20151,32,1125,65,"",2,2,300,"Mediano (2-5)",1
148901183,8,"Barcelona, Spain","t","El Putget i Farró",4,4,"el Putxet i el Farró","Sarrià-Sant Gervasi",41.4103,2.14098,5,1125,32,"Barcelona - Regional registration number<br />HUTB-008589",4,4,333,"Mediano (2-5)",1
39429934,6,"Barcelona, Spain","t","el Fort Pienc",1,1,"el Fort Pienc","Eixample",41.40046,2.17727,32,365,125,"Spain - National registration number<br />ESFCNT00000807300097127600000000000000000000000000009",1,1,240,"Pequeño (1)",1
108192157,8,"","f","",1,13,"Navas","Sant Andreu",41.41903,2.1883,30,1125,363,"",1,1,2,"Pequeño (1)",0
91048534,9,"Barcelona, Spain","t","Sant Pere/Santa Caterina",2,4,"Sant Pere, Santa Caterina i la Ribera","Ciutat Vella",41.38822,2.17686,33,365,319,"",2,2,46,"Mediano (2-5)",1
129000409,8,"Barcelona, Spain","f","Kolonaki",220,294,"el Poblenou","Sant Martí",41.4005,2.20122,32,365,258,"",15,15,107,"Profesional (6-20)",0
116807111,8,"Barcelona, Spain","t","",8,9,"la Dreta de l'Eixample","Eixample",41.39202,2.17527,1,1125,305,"Barcelona - Regional registration number<br />HB-004126<br /><br />Spain - National registration number<br />Exempt",8,0,60,"Profesional (6-20)",1
